Complaint_ID,City,Latitude,Longitude,Complaint_Text,Fault_Type,Severity,Temperature_C,Hospitals_Nearby,Outage_Duration_Hrs
IRQ-KGL-10096,البصرة,30.456811505488336,47.77155154709917,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,26,1,9
IRQ-KGL-10097,كربلاء,32.54454089057168,43.94794840118172,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,34,4,15
IRQ-KGL-10098,بغداد,33.27767040630906,44.3217716626458,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,25,1,25
IRQ-KGL-10099,أربيل,36.12879984016696,44.04439293028761,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,41,2,6
IRQ-KGL-10100,بابل,32.53536441423339,44.39708844196362,سقوط أسلاك كهربائية على الأرض في الشارع المزدحم,سقوط أسلاك,عالي جداً,42,1,24
IRQ-KGL-10101,البصرة,30.578323251386248,47.72443765046623,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,33,1,21
IRQ-KGL-10102,البصرة,30.45890166409637,47.798380823527964,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,43,2,31
IRQ-KGL-10103,ذي قار,31.046739608748016,46.257895964479346,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,31,3,14
IRQ-KGL-10104,كربلاء,32.5435973344401,44.05821219924279,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,25,1,3
IRQ-KGL-10105,بغداد,33.340008118355,44.380785622938134,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,48,0,31
IRQ-KGL-10106,البصرة,30.552867485858304,47.77555750461833,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,38,2,4
IRQ-KGL-10107,بابل,32.48477746156865,44.50371001334959,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,31,4,3
IRQ-KGL-10108,كركوك,35.54355080548781,44.385008878924125,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,22,4,12
IRQ-KGL-10109,بابل,32.41925532090462,44.363870615912745,تذبذب قوي في الفولتية وانخفاض الإضاءة واحتراق الأجهزة,تذبذب فولتية,متوسط,28,0,35
IRQ-KGL-10110,بابل,32.54012989274968,44.43409595036905,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,34,4,33
IRQ-KGL-10111,أربيل,36.220559627380815,43.96373130317655,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,48,3,27
IRQ-KGL-10112,كربلاء,32.55958731679915,43.99012665993344,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,42,0,32
IRQ-KGL-10113,كركوك,35.4663106618666,44.470789544071565,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,28,3,22
IRQ-KGL-10114,بغداد,33.28222212173383,44.34175995108724,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,23,3,4
IRQ-KGL-10115,كركوك,35.43600306915421,44.43050111976527,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,42,1,33
IRQ-KGL-10116,البصرة,30.46428401417202,47.82407406340423,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,26,1,26
IRQ-KGL-10117,البصرة,30.55610705503377,47.77660062615653,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,45,0,25
IRQ-KGL-10118,النجف,32.08275253212211,44.4256673007472,تذبذب قوي في الفولتية وانخفاض الإضاءة واحتراق الأجهزة,تذبذب فولتية,متوسط,41,1,7
IRQ-KGL-10119,كركوك,35.51798538592794,44.433796778834385,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,35,3,30
IRQ-KGL-10120,كركوك,35.52647514785593,44.321591941256486,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,51,4,2
IRQ-KGL-10121,كركوك,35.442105082126574,44.34998193621865,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,42,0,14
IRQ-KGL-10122,أربيل,36.2341872962427,44.03390799842064,تذبذب قوي في الفولتية وانخفاض الإضاءة واحتراق الأجهزة,تذبذب فولتية,متوسط,26,1,4
IRQ-KGL-10123,النجف,31.996722123655516,44.334249499816686,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,39,0,34
IRQ-KGL-10124,بابل,32.39784044735496,44.44688610509127,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,42,4,14
IRQ-KGL-10125,النجف,32.09326663281804,44.36105777554448,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,39,4,5
IRQ-KGL-10126,كركوك,35.47463938675486,44.41129478238406,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,51,3,23
IRQ-KGL-10127,كركوك,35.49860395769462,44.46553728666455,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,44,3,10
IRQ-KGL-10128,كركوك,35.43889817286896,44.413906692030196,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,36,4,15
IRQ-KGL-10129,أربيل,36.11845386966881,44.00546467859783,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,22,3,7
IRQ-KGL-10130,كربلاء,32.585849137322306,44.038600288040556,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,44,4,17
IRQ-KGL-10131,بغداد,33.25691824649806,44.44008219730874,تذبذب قوي في الفولتية وانخفاض الإضاءة واحتراق الأجهزة,تذبذب فولتية,متوسط,36,0,33
IRQ-KGL-10132,ذي قار,31.107425381584214,46.20613186777921,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,45,0,16
IRQ-KGL-10133,بابل,32.50189520643451,44.50442272255612,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,33,4,4
IRQ-KGL-10134,كركوك,35.41836554152881,44.415228312448015,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,48,4,10
IRQ-KGL-10135,كركوك,35.445564324320706,44.43890433643524,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,50,1,2
IRQ-KGL-10136,أربيل,36.17370154118778,43.94512789226243,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,24,2,29
IRQ-KGL-10137,بابل,32.47755592371612,44.36541456148017,سقوط أسلاك كهربائية على الأرض في الشارع المزدحم,سقوط أسلاك,عالي جداً,39,1,31
IRQ-KGL-10138,كركوك,35.42093674895682,44.37879439723156,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,31,4,24
IRQ-KGL-10139,البصرة,30.439474044620432,47.75963566652795,انقطاع مجدول حسب جدول التشغيل اليومي المعلن,صيانة مجدولة,منخفض,44,0,17
IRQ-KGL-10140,أربيل,36.205245568809715,44.02873695460694,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,48,4,34
IRQ-KGL-10141,كربلاء,32.55420149601638,44.02453083054773,سقوط أسلاك كهربائية على الأرض في الشارع المزدحم,سقوط أسلاك,عالي جداً,27,2,7
IRQ-KGL-10142,بابل,32.51436264650641,44.46915208162902,تذبذب قوي في الفولتية وانخفاض الإضاءة واحتراق الأجهزة,تذبذب فولتية,متوسط,23,3,19
IRQ-KGL-10143,بابل,32.46066517994701,44.506821462786554,تذبذب قوي في الفولتية وانخفاض الإضاءة واحتراق الأجهزة,تذبذب فولتية,متوسط,38,2,30
IRQ-KGL-10144,بغداد,33.31383640736719,44.43609928072633,عطل في المولد الفرعي للمحلة وانقطاع الخط المساعد,عطل فرعي,متوسط,33,2,31
IRQ-KGL-10145,ذي قار,31.016213782494482,46.213032217228665,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,48,3,19
IRQ-KGL-10146,ذي قار,31.114950763340946,46.31167008127482,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,48,3,5
IRQ-KGL-10147,ذي قار,31.097262709882845,46.304296587116696,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,30,3,10
IRQ-KGL-10148,بغداد,33.249677276179476,44.442764236387085,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,22,2,13
IRQ-KGL-10149,ذي قار,30.98939793355236,46.28974600408527,انفجار جوزة الكهرباء الرئيسية بالشارع العام,انفجار جوزة,عالي جداً,38,1,10
IRQ-KGL-10150,أربيل,36.11332999373422,44.08733072495281,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,38,1,19
IRQ-KGL-10151,بابل,32.40489688961539,44.46571626160013,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,22,0,20
IRQ-KGL-10152,بغداد,33.36524664037842,44.43138891833985,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,50,0,10
IRQ-KGL-10153,النجف,32.02832895941781,44.309086341382226,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,47,2,8
IRQ-KGL-10154,البصرة,30.457257180867373,47.75843015315849,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,51,1,4
IRQ-KGL-10155,بابل,32.4637880753838,44.44828799218084,سقوط أسلاك كهربائية على الأرض في الشارع المزدحم,سقوط أسلاك,عالي جداً,49,2,23
IRQ-KGL-10156,بابل,32.51825082251059,44.499965740581054,تذبذب قوي في الفولتية وانخفاض الإضاءة واحتراق الأجهزة,تذبذب فولتية,متوسط,27,0,27
IRQ-KGL-10157,كركوك,35.43555218289184,44.39651372013947,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,29,3,14
IRQ-KGL-10158,كربلاء,32.69363707425389,44.07396248763313,انقطاع مفاجئ للتيار الكهربائي عن المنطقة بالكامل منذ ساعات,عطل شبكة رئيسية,عالي,25,0,33
IRQ-KGL-10159,النجف,31.995983340354734,44.33816047207679,حرق محولة بالحي ورائحة دخان متصاعدة في الشارع,حرق محولة,عالي جداً,34,1,35
IRQ-KGL-10160,بابل,32.44021405178935,44.47674074578631,احتراق الكيبل الرئيسي المغذي للعمارة السكنية,حرق كيبل,عالي,43,0,5
